title,location,distance,description,verdict,rating,experience
Riad Villa Almeria Hotel & Spa,Marrakech,"2,3 km du centre","Situé dans le quartier Berrima, à 1 km du palais El Bahia et à 20 minutes à pied de la place Jamaâ El Fna, le Riad Villa Almeria Hotel & Spa propose une piscine extérieure chauffée offrant une vue sur...",Superbe ,"8,9",195 expériences vécues
Riad Elias & Spa,"Médina, Marrakech","1,6 km du centre",Établissement Voyage Durable,Superbe ,"8,7",162 expériences vécues
Eden Lodges,"La Palmeraie, Marrakech","9,1 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,1",116 expériences vécues
Riad Carina,Marrakech,"1,7 km du centre","Situé à côté du Palais El Badi, en plein cœur de la Medina, ce charmant riad traditionnel se trouve à côté du musée Dar Si Said et de la place Jamaâ El Fna. ",Fabuleux  ,"9,2",589 expériences vécues
Dixneuf La Ksour,"Médina, Marrakech","0,8 km du centre","Le Dixneuf La Ksour vous accueille au cœur de Marrakech, à seulement 600 mètres de la place Jemaa el-Fna. ",Fabuleux  ,"9,2",218 expériences vécues
Hôtel Teranga & Spa,Marrakech,"2,3 km du centre","Situé à 1 km du centre commercial Carré Eden de Marrakech, l'Hôtel Teranga & Spa dispose d'une connexion Wi-Fi gratuite. ",Bien  ,"7,9",328 expériences vécues
RIAD KERDOUSS,"Médina, Marrakech","0,7 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,6",88 expériences vécues
Riad Bab Tilila,"Médina, Marrakech","0,5 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,4",288 expériences vécues
Riad Alice Terrace & Spa,Marrakech,"2,1 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,3",428 expériences vécues
Indian Palace,"Médina, Marrakech",450 m du centre,"Doté d’un bar, d’un restaurant, d’un parking privé gratuit et d’une piscine extérieure, l’Indian Palace vous accueille à 1,9 km du jardin Majorelle, à Marrakech. ",Fabuleux  ,"9,4",115 expériences vécues
Riad Mouna,"Médina, Marrakech","1,4 km du centre","Situé dans la médina de Marrakech, à 5 minutes à pied de la place Jamaâ El Fna et de la mosquée Koutoubia, ce Riad climatisé comprend un toit-terrasse doté de chaises longues, d'une petite piscine et...",Fabuleux  ,"9,0",314 expériences vécues
Riad El Sagaya,"Médina, Marrakech","0,9 km du centre","Doté d'une piscine extérieure ainsi que d'un toit-terrasse bien exposé donnant sur la médina et les montagnes de l'Atlas, le Riad El Sagaya se trouve à 5 minutes à pied du jardin Majorelle. ",Très bien ,"8,4",322 expériences vécues
Dar Charkia,"Médina, Marrakech","0,7 km du centre","Le Dar Charkia vous accueille à Marrakech. Il propose un bassin profond chauffé et un toit-terrasse avec une tente, des chaises longues et une vue panoramique. ",Fabuleux  ,"9,0",164 expériences vécues
Dar Nour el Houda,"Médina, Marrakech","1,6 km du centre","Situé à 15 minutes à pied de la place Jamaâ El Fna, le Dar Nour el Houda propose une terrasse avec bassin profond, un coin salon ainsi que des transferts depuis et à destination de l'aéroport...",Exceptionnel ,"9,5",152 expériences vécues
Dar Najat,"Médina, Marrakech","1,7 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,5",181 expériences vécues
Riad Boussa,"Médina, Marrakech","1,6 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,6",78 expériences vécues
Riad Slitine & Spa,"Médina, Marrakech","1,5 km du centre","Le Riad Slitine propose des chambres climatisées à seulement 2 minutes à pied de la place Jamaâ El Fna, dans le vieux quartier de Marrakech. ",Fabuleux  ,"9,2",128 expériences vécues
Riad Yamina,"Médina, Marrakech","1,6 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,5",77 expériences vécues
Riad Dar Yasaman,"Médina, Marrakech","1,7 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,3",169 expériences vécues
Riad Safar,"Médina, Marrakech",1 km du centre,"Située au cœur de la médina, cette maison d'hôtes affiche une architecture andalouse. Elle se trouve à 7 minutes de marche de la place Jemaa el Fna et de la Koutoubia. ",Fabuleux  ,"9,4",43 expériences vécues
Riad Viva,Marrakech,"1,1 km du centre","Au cœur de la médina, le Riad Viva dispose d'un toit-terrasse avec piscine, d'un restaurant, ainsi que d'une vue sur la mosquée Kotoubia et la vieille ville. ",Fabuleux  ,"9,0",380 expériences vécues
Riad Zahir,"Médina, Marrakech","0,9 km du centre",Établissement Voyage Durable,Superbe ,"8,8",121 expériences vécues
Riad Bamboo Suites & Spa,"Médina, Marrakech","1,6 km du centre","Situé dans la médina de Marrakech et à 5 minutes de la place Jamaâ El Fna, ce riad se trouve dans un bâtiment traditionnel rénové. ",Fabuleux  ,"9,4",252 expériences vécues
Riad Itrane,"Médina, Marrakech","1,5 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,5",204 expériences vécues
Riad Elizabeth,"Médina, Marrakech","1,6 km du centre","Cet élégant riad se trouve dans la médina historique de Marrakech, à seulement 10 minutes à pied des marchés traditionnels de la place Jamaâ el Fna. ",Très bien ,"8,4",38 expériences vécues
Riad des trois palais,"Médina, Marrakech","1,7 km du centre","Situé dans la médina de Marrakech, à 5 minutes à pied de la place Jamaâ El Fna, cet établissement dispose d'un coin salon sur une terrasse bien exposée, de chambres de style marocain et d'une...",Superbe ,"8,8",75 expériences vécues
Mövenpick Hotel Mansour Eddahbi Marrakech,"L’Hivernage, Marrakech","1,4 km du centre",Établissement Voyage Durable,Très bien ,"8,0",1 056 expériences vécues
DAR AURORA,"Médina, Marrakech","1,3 km du centre","Situé à Marrakech, à 600 mètres de la place Jemaa el-Fna et à 1,1 km de la mosquée Koutoubia, le DAR AURORA propose des hébergements avec une connexion Wi-Fi gratuite, la climatisation, une piscine...",Superbe ,"8,9",55 expériences vécues
RIAD ENNAFOURA BOUTIQUE HOTEL,"Médina, Marrakech","1,5 km du centre",Le RIAD ENNAFOURA BOUTIQUE HOTEL propose des chambres avec balcon privé dans le centre de Marrakech. Il propose des chambres familiales et une terrasse bien exposée. ,Exceptionnel ,"9,9",9 expériences vécues
Nahililan Appartement,"Guéliz, Marrakech","0,7 km du centre","Situé dans le quartier de Gueliz à Marrakech, le Nahililan Appartement dispose de la climatisation, d'un balcon et d'une vue sur la ville. ",Superbe ,"8,8",4 expériences vécues
Riad Nanou - Private Riad with Pool & Rooftop,"Médina, Marrakech","1,1 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,6",9 expériences vécues
Palais Dar Si Aissa ALL-SUITES,"Médina, Marrakech","0,9 km du centre","Doté d'un bar, le Palais Dar Si Aissa ALL-SUITES est situé à Marrakech, dans la région de Marrakech-Safi, à 300 mètres du Jardin Secret et du musée de Mouassine. ",Très bien ,"8,2",54 expériences vécues
LA CASA DEL MARRAKECH,"La Palmeraie, Marrakech",12 km du centre,"Doté d'un restaurant, d'une piscine extérieure, d'un bar et d'un jardin, l'établissement LA CASA DEL MARRAKECH est situé dans le quartier de la Palmeraie de Marrakech, à seulement 13 km du palais de...",,,
Self check-in 100MQ apartment in Marrakech center,"Guéliz, Marrakech","0,7 km du centre","Situé à Marrakech, à 1,4 km de la gare et à 1,9 km du jardin Majorelle, le Self check-in 100MQ apartment in Marrakech center dispose de la climatisation. ",Bien  ,"7,5",2 expériences vécues
Ryad Ayad,"Kasbah, Marrakech","1,7 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,7",45 expériences vécues
"Villa Pauline with private pool & garden, hotel service and no insight.",Marrakech,15 km du centre,Établissement Voyage Durable,,,
Riad Boustane,"Médina, Marrakech","1,3 km du centre","Doté d'une connexion Wi-Fi gratuite et d'une terrasse bien exposée, l'établissement acceptant les animaux domestiques Ryad Boustane se trouve à Marrakech. Le riad dispose d'un spa et d'un sauna. ",Fabuleux  ,"9,0",239 expériences vécues
HappyHome.Rak,"La Palmeraie, Marrakech",7 km du centre,"Offrant une vue sur le jardin, le HappyHome.Le Rak propose un hébergement avec une terrasse et un balcon, à environ 6 km du musée Yves Saint Laurent. ",Note ,"1,0",1 expérience vécue
Riad Vert,"Médina, Marrakech","1,7 km du centre",Établissement Voyage Durable,Superbe ,"8,6",48 expériences vécues
Riad Deux Palmiers,"Médina, Marrakech","1,5 km du centre",Établissement Voyage Durable,Exceptionnel ,"9,9",7 expériences vécues
Riad Dar Fanny,"Médina, Marrakech","1,8 km du centre","Idéalement situé à Marrakech, le Riad Dar Fanny propose des chambres climatisées, un restaurant, une connexion Wi-Fi gratuite et une terrasse. ",Exceptionnel ,10,4 expériences vécues
Capsule Riad Villa Résidence,Marrakech,"6,5 km du centre",Établissement Voyage Durable,Fabuleux  ,"9,1",7 expériences vécues
Riad Al Ibtikar,"Médina, Marrakech","1,6 km du centre","Situé à Marrakech, à 1,1 km du palais de la Bahia et à 700 mètres du musée Boucharouite, Le Riad Al Ibtikar propose des hébergements avec une connexion Wi-Fi gratuite, la climatisation, un bar et un...",,,
RIAD ILLI,Marrakech,"2,5 km du centre",Établissement Voyage Durable,,,
Riad Aventurine,"Médina, Marrakech","1,5 km du centre","Situé à Marrakech, le Riad Aventurine propose un restaurant, une piscine extérieure, un bar et un salon commun. ",Exceptionnel ,"9,8",36 expériences vécues
Flat in Marrakech near Garden Majorelle,Marrakech,"1,5 km du centre","Situé à Marrakech, à 300 mètres du jardin Majorelle, le Flat in Marrakech near Garden Majorelle propose un hébergement avec une terrasse, une connexion Wi-Fi gratuite et une réception ouverte 24h/24. ",Exceptionnel ,10,2 expériences vécues
"Apartment in Marrakesh, Gueliz",Marrakech,"1,3 km du centre","Doté d'un balcon, l'Apartment in Marrakesh, Gueliz est situé à Marrakech. Cet hébergement climatisé se trouve à moins de 1 km du jardin Majorelle. ",Très bien ,"8,2",71 expériences vécues
Holiday signature,"Guéliz, Marrakech","1,5 km du centre","Offrant une vue sur la ville, le Holiday signature propose un hébergement avec un balcon et une machine à café, à environ 2,3 km du jardin Majorelle. ",Exceptionnel ,"9,6",32 expériences vécues
